date,WHO_region_name,threshold_val,threshold_type,need_standardize,final_contrbX,weight_type,risk_type
2020-09-20,Europe,0,wp,TRUE,0.19282338402549729,mixed,risk_contribution
2020-09-21,Africa,0,wp,TRUE,0.1100612396147255,mixed,risk_contribution
2020-09-21,America,0,wp,TRUE,0.16365640488158265,mixed,risk_contribution
2020-09-21,Asia,0,wp,TRUE,0.4327961641236002,mixed,risk_contribution
2020-09-21,Eastern Mediterranean,0,wp,TRUE,0.09194287439375017,mixed,risk_contribution
2020-09-21,Europe,0,wp,TRUE,0.20154331698634068,mixed,risk_contribution
2020-09-22,Africa,0,wp,TRUE,0.10119150109949608,mixed,risk_contribution
2020-09-22,America,0,wp,TRUE,0.20135984344650779,mixed,risk_contribution
2020-09-22,Asia,0,wp,TRUE,0.41677254995515156,mixed,risk_contribution
2020-09-22,Eastern Mediterranean,0,wp,TRUE,0.07884731136500557,mixed,risk_contribution
2020-09-22,Europe,0,wp,TRUE,0.20182879413383945,mixed,risk_contribution
2020-09-23,Africa,0,wp,TRUE,0.09632676821183332,mixed,risk_contribution
2020-09-23,America,0,wp,TRUE,0.2077500075474252,mixed,risk_contribution
2020-09-23,Asia,0,wp,TRUE,0.4075993344685115,mixed,risk_contribution
2020-09-23,Eastern Mediterranean,0,wp,TRUE,0.09228315207588773,mixed,risk_contribution
2020-09-23,Europe,0,wp,TRUE,0.19604073769634167,mixed,risk_contribution
2020-09-24,Africa,0,wp,TRUE,0.10278851693883531,mixed,risk_contribution
2020-09-24,America,0,wp,TRUE,0.20590762415896616,mixed,risk_contribution
2020-09-24,Asia,0,wp,TRUE,0.411744486867182,mixed,risk_contribution
2020-09-24,Eastern Mediterranean,0,wp,TRUE,0.09384276814027971,mixed,risk_contribution
2020-09-24,Europe,0,wp,TRUE,0.18571660389473674,mixed,risk_contribution
2020-09-25,Africa,0,wp,TRUE,0.10238001283240111,mixed,risk_contribution
2020-09-25,America,0,wp,TRUE,0.20752528243909382,mixed,risk_contribution
2020-09-25,Asia,0,wp,TRUE,0.41359123786583396,mixed,risk_contribution
2020-09-25,Eastern Mediterranean,0,wp,TRUE,0.08961394001950024,mixed,risk_contribution
2020-09-25,Europe,0,wp,TRUE,0.18688952684317037,mixed,risk_contribution
2020-09-26,Africa,0,wp,TRUE,0.09998228253027872,mixed,risk_contribution
2020-09-26,America,0,wp,TRUE,0.21682673527255844,mixed,risk_contribution
2020-09-26,Asia,0,wp,TRUE,0.4098779617641143,mixed,risk_contribution
2020-09-26,Eastern Mediterranean,0,wp,TRUE,0.09197352387282333,mixed,risk_contribution
2020-09-26,Europe,0,wp,TRUE,0.1813394965602259,mixed,risk_contribution
2020-09-27,Africa,0,wp,TRUE,0.09121682757226589,mixed,risk_contribution
2020-09-27,America,0,wp,TRUE,0.21278929549328135,mixed,risk_contribution
2020-09-27,Asia,0,wp,TRUE,0.41779047576881156,mixed,risk_contribution
2020-09-27,Eastern Mediterranean,0,wp,TRUE,0.09949793570518342,mixed,risk_contribution
2020-09-27,Europe,0,wp,TRUE,0.17870546546045768,mixed,risk_contribution
2020-09-28,Africa,0,wp,TRUE,0.0904590661380346,mixed,risk_contribution
2020-09-28,America,0,wp,TRUE,0.2304645615884958,mixed,risk_contribution
2020-09-28,Asia,0,wp,TRUE,0.4238321591289183,mixed,risk_contribution
2020-09-28,Eastern Mediterranean,0,wp,TRUE,0.07562140937616627,mixed,risk_contribution
2020-09-28,Europe,0,wp,TRUE,0.17962280376838463,mixed,risk_contribution
2020-09-29,Africa,0,wp,TRUE,0.09022516954346384,mixed,risk_contribution
2020-09-29,America,0,wp,TRUE,0.22324064940564137,mixed,risk_contribution
2020-09-29,Asia,0,wp,TRUE,0.4325565421056096,mixed,risk_contribution
2020-09-29,Eastern Mediterranean,0,wp,TRUE,0.07528513469710633,mixed,risk_contribution
2020-09-29,Europe,0,wp,TRUE,0.1786925042481789,mixed,risk_contribution
2020-09-30,Africa,0,wp,TRUE,0.09711104289122438,mixed,risk_contribution
2020-09-30,America,0,wp,TRUE,0.22978239706367617,mixed,risk_contribution
2020-09-30,Asia,0,wp,TRUE,0.4168561086268679,mixed,risk_contribution
